id,title,type,directors,actors,release_year,duration,categories,plot
521,i think you should leave with tim robinson,tv show,,"tim robinson,andy samberg,sam richardson,will forte,fred willard,cecily strong,tim heidecker,kate berlant",2021,2 seasons,tv comedies,there is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars
522,kims convenience,tv show,,"paul sunhyung lee,jean yoon,andrea bang,simu liu,andrew phung,nicole power",2021,5 seasons,"international tv shows,tv comedies",while running a convenience store in toronto members of a koreancanadian family deal with customers each other and the evolving world around them
523,larva,tv show,,,2015,3 seasons,"kids tv,korean tv shows,tv comedies",two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world
524,marcella,tv show,,"anna friel,nicholas pinnock,sinéad cusack,nina sosanya,harry lloyd,laura carmichael,maeve dermody,ray panthaki,ian pulestondavies,patrick baladi,florence pugh,jamie bamber,charlie covell,andrew lancel,jack doolan,tobias santelmann,stephen lord,ben cura,imogen faires",2019,3 seasons,"british tv shows,crime tv shows,international tv shows",her marriage just ended and she is returning to work as a london detective after 12 years away is the serial killer she once investigated back too
525,midnight diner tokyo stories,tv show,,"kaoru kobayashi,joe odagiri,mansaku fuwa,reiko kataoka,koen kondo,bsaku sato,hirofumi arai,mamiko itoh,yuma yamoto,yoshinori okada,ahsung ko,kosuke toyohara,yoshiyuki morishita,junko miyashita,tamaki ogawa,toru kazama,kotaro shiga,mitsuru hirata,toshiki ayata,shohei uno,tamae ando,risa sudou,asako kobayashi,takashi yamanaka,yutaka matsushige,ken mitsuishi,mikako tabe,kimiko yo",2019,2 seasons,"international tv shows,tv dramas",patrons of an otherwise mundane japanese diner find simple yet profound connections with one another based on the shared love of a particular dish
526,my little pony friendship is magic,tv show,,"ashleigh ball,tabitha st germain,tara strong,andrea libman,cathy weseluck,nicole oliver",2018,8 seasons,kids tv,journey to the enchanted land of equestria where unicorn twilight sparkle and her pals have adventures and learn valuable lessons about friendship
527,orange is the new black,tv show,,"taylor schilling,kate mulgrew,laura prepon,jason biggs,natasha lyonne,michael harney,uzo aduba,danielle brooks,samira wiley,dascha polanco,selenis leyva,nick sandow,yael stone,taryn manning,lea delaria,matt mcgorry,emma myles,vicky jeudy,laverne cox,pablo schreiber,lori petty,ruby rose,adrienne c moore,jackie cruz,elizabeth rodriguez",2019,7 seasons,"tv comedies,tv dramas",a privileged new yorker ends up in a womens prison when a past crime catches up with her in this emmywinning series from the creator of weeds
528,puffin rock,tv show,,"chris odowd,kate mccafferty,sally mcdaid,geraldine cole,brian mcmonagle,darragh gargan",2016,2 seasons,kids tv,life is sweet on beautiful puffin rock where puffling oona her baby brother baba and their pals learn about nature friendship and family
529,rehmataan,movie,"rajveer singh maan,harpeet singh","guggu gill,sukhjinder shera,surinder shinda,deep dhillon,jasmine jassi,gurvinder brar,razia sukhvir,raj virk",2012,116 min,"dramas,international movies,romantic movies",as unemployment drug addiction and corruption plague a society this drama depicts the people who believe there is still good in the world
530,return of the prodigal son,movie,youssef chahine,"majida el roumi,souheir el morshidy,shoukry sarhan,huda sultan,mahmoud el meleigy,ahmad mehrez,hesham selim",1976,124 min,"dramas,international movies",freed after spending 12 years in jail a mans homecoming turns into a dark affair as his disillusion clashes with his familys expectations
531,richie rich,tv show,,"jake brennan,joshua carlon,lauren taylor,jenna ortega,kiff vandenheuvel,brooke wexler",2015,2 seasons,"kids tv,tv comedies",after turning his veggies into green energy richie rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure
532,rise ini kalilah,movie,"saw teong hin,nik amir mustapha,ms prem nath","remy ishak,mira filzah,jack tan,sangeeta krishnasamy,shashi tharan,mark odea,jenn chia,sharifah sakinah",2018,101 min,"dramas,international movies",inspired by malaysias 14th general election this film trails six individuals and the obstacles they face in the days leading up to the historic event
533,scream,tv show,,"willa fitzgerald,bex taylorklaus,john karna,amadeus serafini,connor weil,carlson young,jason wiles,tracy middendorf,tom maden,bobby campo,santiago segura,mike vaughn",2019,3 seasons,"crime tv shows,tv horror,tv mysteries",in this new tv series sequel to the classic horror franchise a cyberbullying incident in lakewood leads to a murder with chilling echoes of the past
534,shtisel,tv show,,"dovale glickman,michael aloni,ayelet zurer,neta riskin,shira haas,sarel piterman,zohar shtrauss,orly silbersatz banai,sasson gabai,shlomo shitrit",2021,3 seasons,"international tv shows,tv dramas",a haredi family living in an ultraorthodox neighborhood of jerusalem reckons with love loss and the doldrums of daily life
535,si doel the movie 2,movie,rano karno,"maudy koesnaedi,rano karno,cornelia agatha,mandra naih,aminah tjendrakasih,suty karno,adam jagwani",2019,95 min,"dramas,international movies",as sarah and her child look to settle in jakarta zaenab searches for answers and gets caught between defending her marriage to doel or letting it go
536,some assembly required,tv show,,"kolton stewart,harrison houde,charlie storwick,sydney scotia,travis turner,ellie harvie,dylan playfair",2015,2 seasons,"kids tv,tv comedies",a 14yearold takes ownership of a toy company and hires a group of his friends to help him create amazing new toys
537,tales by light,tv show,,"darren jew,art wolfe,krystle wright,peter eastway,richard lanson,jack thompson,jonathan scott,angela scott,eric cheng,stephen dupont",2018,3 seasons,"docuseries,international tv shows,science  nature tv",follow renowned photographers as they explore farflung locales capturing extraordinary images that present nature and culture in a new light
538,terrace house opening new doors,tv show,,"you,reina triendl,yoshimi tokui,azusa babazono,ryota yamasato,shono hayama",2018,6 seasons,"international tv shows,reality tv",a group of young people  including a chef a snowboarder and an ice hockey player  gather in the karuizawa woods while pursuing their dreams
539,the a list,tv show,,"lisa ambalavanar,ellie duckles,savannah baker,cian barry,eleanor bennett,jacob dudman,rosie dwyer,jack kane,max lohan,nneka okoye,micheal ward,georgina sadler,indianna ryan",2021,2 seasons,"british tv shows,international tv shows,tv dramas",romance rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful supernatural drama
540,the new legends of monkey,tv show,,"chai hansen,luciane buchanan,josh thomson,emilie cocquerel,josh mckenzie,jordan mooney,jarred blakiston",2020,2 seasons,"kids tv,tv action  adventure,tv scifi  fantasy",a valiant girl liberates the monkey king  a god long trapped in stone  in a quest to find seven sacred scrolls and save the world from evil
541,the worst witch,tv show,,"bella ramsey,clare higgins,meibh campbell,raquel cassidy,jenny richardson,miriam petche,tallulah milligan,wendy craig,shauna shim",2020,4 seasons,"british tv shows,kids tv",after stumbling into a school for witches a bumbling heroine comes to realize that she just might belong there based on jill murphys beloved books
542,truckbhar swapna,movie,pramod pawar,"makrand deshpande,kranti redkar,mukesh rishi,manoj joshi,smita tambe,aaditi pohankar,sahil gilbile,jyoti joshi",2018,128 min,"comedies,dramas,international movies",a taxi driver living in a mumbai slum seeks to better his familys life by building an extension of his home while dealing with a lecherous contractor
543,ujala,movie,naresh saigal,"mala sinha,shammi kapoor,raaj kumar,leela chitnis,dhumal,kumkum",1959,143 min,"dramas,international movies",an honest man dreams of a better life for his family but a childhood friend leads him into a world of crime that keeps happiness just out of reach
544,undercover,tv show,,"tom waes,anna drijver,frank lammers,elise schaap,raymond thiry,kris cuppens,kevin janssens,huub smit",2020,2 seasons,"crime tv shows,international tv shows,tv action  adventure",undercover agents infiltrate a drug kingpins operation by posing as a couple at the campground where he spends his weekends inspired by real events
545,workin moms,tv show,,"catherine reitman,dani kind,juno rinaldi,jessalyn wanlim,philip sternberg,ryan belleville,olunike adeliyi,dennis andres,katherine barrell,sarah mcvie,peter keleghan",2021,5 seasons,"international tv shows,tv comedies",maternity leave is over and it is time for these four moms to return to work while navigating kids bosses love and life in modernday toronto
546,yoohoo to the rescue,tv show,,"kira buckland,ryan bartley,bryce papenbrook,cassandra morris,lucien dodge,kyle hebert",2020,3 seasons,"kids tv,korean tv shows",in a series of magical missions quickwitted yoohoo and his cando crew travel the globe to help animals in need
547,you are my spring,tv show,,"seo hyunjin,kim dongwook,yoon bak,nam gyuri,kim yewon,han min,lee haeyeong,ji seunghyun,kim seokyung,hwang seungun,oh hyunkyung,kang hoon,park sangnam,baek hyunjoo,park yeni,yun jion,kim riwoo,park kideok,yun sangjeong,ji hyein,kim myungjun",2021,1 season,"international tv shows,romantic tv shows,tv dramas",a hotel concierge and a psychiatrist with traumatic childhoods form a heartfelt bond when they become entangled in a perplexing local murder case
548,we the people,tv show,,"her,adam lambert,cordae,kristen andersonlopez,daveed diggs,brittany howard,robert lopez,linmanuel miranda,brandi carlile,kyle harvey,bebe rexha,andra day,janelle monáe,amanda gorman",2021,1 season,kids tv,learn the basics of rights and citizenship with upbeat songs by popular artists like janelle monáe her adam lambert brandi carlile and more
549,greys anatomy,tv show,,"ellen pompeo,sandra oh,katherine heigl,justin chambers,patrick dempsey,chandra wilson,tr knight,james pickens jr,isaiah washington,sara ramirez,eric dane,chyler leigh,kate walsh,kevin mckidd,jessica capshaw",2020,17 seasons,"romantic tv shows,tv dramas",intern and eventual resident meredith grey finds herself caught up in personal and professional passions with fellow doctors at a seattle hospital
550,big timber,tv show,,,2020,1 season,"international tv shows,reality tv",a nononsense logger and his loyal crew battle brutal elements and finicky machines to chop and transport valuable lumber on vancouver island
551,fear street part 1 1994,movie,leigh janiak,"kiana madeira,olivia scott welch,benjamin flores jr,julia rehwald,fred hechinger,ashley zukerman,maya hawke,darrell brittgibson,jordana spiro,jordyn dinatale",2021,107 min,"horror movies,lgbtq movies",after a series of brutal slayings a teen and her friends take on an evil force that is plagued their notorious town for centuries welcome to shadyside
552,haseen dillruba,movie,vinil mathew,"taapsee pannu,vikrant massey,harshvardhan rane,aditya srivastava,ashish verma,yamini das,daya shankar pandey",2021,136 min,"international movies,romantic movies,thrillers",under investigation as a suspect in her husbands murder a wife reveals details of their thorny marriage that seem to only further blur the truth
553,holiday on mars,movie,neri parenti,"christian de sica,massimo boldi,lucia mascino,milena vukotic,paola minaccioni,herbert ballerina,denise tantucci,fiammetta cicogna,francesco bruni,alessandro bisegna",2020,94 min,"comedies,international movies",a scoundrels mission to escape his family and remarry on mars is hilariously scrubbed when a mishap with a black hole turns his son into an old man
554,mortel,tv show,,"carl malapa,nemo schiffman,manon bresch,corentin fila,anaïs thomas,firmine richard,raphaëlle agogué,marvin dubart,léa léviant,assa sylla,stéphane brel",2019,2 seasons,"crime tv shows,international tv shows,tv dramas",after making a deal with a supernatural figure two high schoolers emerge with extraordinary powers and join forces to solve a murder
555,rattlesnake  the ahanna story,movie,ramsey nouah,"stan nze,osas ighodaro,bucci franklin,odera adimorah,efa iwara,emeka nwagbaraocha,elma mbadiwe,norbert young,brutus richard,chinyere wilfred,sonny mcdon,chiwetalu agu",2020,136 min,"dramas,international movies,thrillers",in this stylish remake a disillusioned mastermind assembles a team to pull off a series of spectacular heists  but his crimes make too many enemies
556,snowpiercer,movie,bong joon ho,"chris evans,song kangho,ed harris,john hurt,tilda swinton,jamie bell,octavia spencer,ewen bremner,alison pill,adnan haskovic,vlad ivanov,ko asung,luke pasqualino",2013,126 min,"action  adventure,cult movies,international movies",the earths remaining inhabitants are confined to a single train circling the globe as revolution brews among the classdivided cars
557,the 8th night,movie,kim taehyung,"lee sungmin,park haejoon,kim youjung,nam dareum,choi jinho,kim dongyeong,lee eal",2021,116 min,"horror movies,international movies,thrillers",with prayer beads in one hand and an ax in the other a monk hunts down a millenniaold spirit that is possessing humans and unleashing hell on earth
558,winchester,movie,"michael spierig,peter spierig","helen mirren,jason clarke,sarah snook,angus sampson,finn sciclunaoprey,laura brent,tyler coppin,eamon farren,bruce spence",2018,100 min,"horror movies,scifi  fantasy",the heiress to a vast firearms fortune constructs a mansion with a mazelike interior to ward off the spirits of those killed by her familys product
559,6 bullets,movie,ernie barbarash,"jeanclaude van damme,joe flanigan,annalouise plowman,charlotte beaumont,steve nicolson,uriel emil,louis dempsey,mark lewis,kristopher van varenberg,bianca brigitte vandamme",2012,115 min,action  adventure,a former mercenary is lured back into the dangerous business of finding missing children when the daughter of a mixed martial arts champ is kidnapped
560,air force one,movie,wolfgang petersen,"harrison ford,gary oldman,glenn close,wendy crewson,paul guilfoyle,william h macy,liesel matthews,dean stockwell,xander berkeley,bill smitrovich,elya baskin,david vadim,tom everett,spencer garrett,philip baker hall",1997,125 min,action  adventure,when terrorists hijack air force one with the president and his family on board the commanderinchief takes matters into his own welltrained hands
561,audible,movie,matt ogens,,2021,39 min,"documentaries,sports movies",shaken by a friends suicide a deaf high school football player copes with family and relationships while anticipating his final homecoming game
562,austin powers in goldmember,movie,jay roach,"mike myers,beyoncé knowlescarter,seth green,michael york,robert wagner,mindy sterling,verne troyer,michael caine,fred savage",2002,94 min,"action  adventure,comedies",the worlds most shagadelic spy continues his fight against the diabolical dr evil who is teamed with a new foe 1970s villain goldmember
563,austin powers international man of mystery,movie,jay roach,"mike myers,elizabeth hurley,michael york,mimi rogers,robert wagner,seth green,fabiana udenio,mindy sterling,paul dillon,charles napier,will ferrell",1997,90 min,comedies,a swingin fashion photographer by day and a groovy british secret agent by night superspy austin powers must foil the sinister schemes of dr evil
564,austin powers the spy who shagged me,movie,jay roach,"mike myers,heather graham,michael york,robert wagner,rob lowe,seth green,mindy sterling,verne troyer,elizabeth hurley,will ferrell",1999,95 min,"action  adventure,comedies,scifi  fantasy",when diabolical genius dr evil travels back in time to steal superspy austin powerss mojo austin must return to the swingin 60s himself
565,boogie nights,movie,paul thomas anderson,"mark wahlberg,burt reynolds,julianne moore,heather graham,william h macy,don cheadle,philip seymour hoffman,luis guzmán,john c reilly,philip baker hall",1997,155 min,"comedies,dramas,independent movies",a wellendowed busboy is taken in by a tightknit group of 1970s porn actors and transforms himself into skin flick celebrity dirk diggler
566,bureau of magical things,tv show,,"kimie tsukakoshi,elizabeth cullen,mia milnes,julian cullen,rainbow wedell,jamie carter,christopher sommers",2020,1 season,"international tv shows,kids tv,tv mysteries",when a teen accidentally discovers an enchanted realm she becomes the only one able to unite the human and magical worlds  and save both from evil
567,charlies angels,movie,mcg,"cameron diaz,drew barrymore,lucy liu,bill murray,sam rockwell,kelly lynch,tim curry,crispin glover,matt leblanc,ll cool j,tom green,luke wilson",2000,98 min,"action  adventure,comedies",a tightknit trio of specially trained agents wield weapons  and charm  as they track down stolen software in this reboot of the classic tv series
568,congo,movie,frank marshall,"dylan walsh,laura linney,ernie hudson,tim curry,joe don baker,grant heslov,adewale akinnuoyeagbaje,mary ellen trainor",1995,108 min,"action  adventure,thrillers",eight people some with ulterior motives go on an expedition to the congo where they find a lost city protected by killer apes
569,dennis the menace,movie,nick castle,"walter matthau,mason gamble,joan plowright,christopher lloyd,lea thompson,robert stanton,paul winfield",1993,96 min,"children  family movies,comedies",the bane of georges life is a little boy named dennis but when a cunning thief attempts to rob george dennis may be the only one who can stop him
570,dreamy eyes,movie,victor vu,"tran nghia,truc anh,tran phong,khanh van,nguyen lam thao tam,hung vo,pham dinh thai ngan,lam bao danh,nguyen ngoc huyen dieu,truong hoang hanh thy,mona bao tien,mai cat vi",2019,117 min,"dramas,international movies,romantic movies",through heartbreak and betrayal ngans unrequited love for his childhood best friend hà la endures for a generation in this sweeping romance
571,dynasty warriors,movie,chow hin yeung roy,"wang kai,louis koo,han geng,tony yang,carina lau,nazha,lam suet,justin cheung,ray lui,yuan wenkang",2021,118 min,"action  adventure,international movies",warlords warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the romance of the three kingdoms
572,generation 56k,tv show,,"angelo spagnoletti,cristina cappelli,alfredo cerrone,azzurra iacone,gianluca colucci fru,gennaro filippone,fabio balsamo,egidio mercurio,sebastiano kiniger,biagio forestieri,sveva simeone,ilenia zanfardino,roberta migliucci,claudia tranchese",2021,1 season,"international tv shows,romantic tv shows,tv comedies",a chance encounter leads two 30something is to remember 1998 the year their teenage hormones kicked in  and the internet changed their lives forever
573,hampstead,movie,joel hopkins,"diane keaton,brendan gleeson,lesley manville,jason watkins,james norton,phil davis",2019,103 min,"comedies,dramas,international movies",an american widow in london forms an unexpected relationship with a man living off the grid in a beautiful park ripe for development
574,kung fu panda,movie,"john stevenson,mark osborne","jack black,dustin hoffman,angelina jolie,ian mcshane,seth rogen,lucy liu,jackie chan,david cross,randall duk kim,james hong",2008,94 min,"children  family movies,comedies",when a powerful villain comes after peace in his valley a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior
575,kung fu panda 2,movie,jennifer yuh nelson,"jack black,angelina jolie,dustin hoffman,gary oldman,seth rogen,lucy liu,jackie chan,david cross,james hong,michelle yeoh",2011,93 min,"children  family movies,comedies",with his fists up and belly full po embarks on a perilous journey with the furious five to take on a frightful new enemy and save the art of kung fu
576,life as we know it,movie,greg berlanti,"katherine heigl,josh duhamel,josh lucas,alexis clagett,brynn clagett,brooke clagett,hayes macarthur,christina hendricks,sarah burns,jessica st clair",2010,115 min,"comedies,dramas,romantic movies",holly and eric discover reciprocal hatred during their first date but must put their feelings aside after becoming guardians of their friends baby
577,mary magdalene,movie,garth davis,"rooney mara,joaquin phoenix,chiwetel ejiofor,tahar rahim,ariane labed,denis ménochet,lubna azabal,tchéky karyo,charles babalola,tawfeek barhom,ryan corr,uri gavriel,shira haas,tsahi halevi,michael moshonov",2019,120 min,"dramas,faith  spirituality,international movies",a woman with healing powers abandons her village life to become a devout disciple of jesus the founder of christianity
578,masameer county,tv show,malik nejer,"malik nejer,abdulaziz alshehri,mazroa almazroa,lama alfard,yousef aldakheel,ibraheem hajjaj,nawaf alshubaili,sohayb godus,shahad alahmari",2021,1 season,"international tv shows,tv comedies",a humorous view on a changing saudi this season includes stories about a global media war a longstanding tribal feud and a health craze gone too far
579,memoirs of a geisha,movie,rob marshall,"zhang ziyi,ken watanabe,koji yakusho,michelle yeoh,kaori momoi,youki kudoh,gong li,caryhiroyuki tagawa,mako iwamatsu,navia nguyen,karl yune",2005,145 min,"dramas,romantic movies",sold to a geisha house as a child a fishermans daughter becomes the most soughtafter geisha in kyoto but rivalries threaten the destiny she desires
580,midnight run,movie,martin brest,"robert de niro,charles grodin,yaphet kotto,john ashton,dennis farina,joe pantoliano,richard foronjy,robert miranda,jack kehoe,wendy phillips,philip baker hall",1988,126 min,"action  adventure,classic movies,comedies",a copturnedbounty hunter runs into trouble as he races from new york to los angeles with a fugitive accountant who embezzled millions from the mob
581,mobile suit gundam hathaway,movie,shuko murase,"kensho ono,reina ueda,junichi suwabe",2021,96 min,"action  adventure,anime features,international movies",after chars rebellion hathaway noa leads an insurgency against earth federation but meeting an enemy officer and a mysterious woman alters his fate
582,mortal kombat,movie,paul ws anderson,"christophe lambert,robin shou,linden ashby,caryhiroyuki tagawa,bridgette wilsonsampras,talisa soto,trevor goddard,chris casamassa,françois petit,keith cooke",1995,101 min,"action  adventure,scifi  fantasy",three fighters travel to the mystical realm of outworld to test their might in a tournament against an evil demon with plans to take over the world
583,mothers day,movie,garry marshall,"jennifer aniston,kate hudson,julia roberts,jason sudeikis,britt robertson,timothy olyphant,margo martindale,shay mitchell,jack whitehall,hector elizondo,jon lovitz,larry miller,cameron esposito,aasif mandvi,jennifer garner,sarah chalke",2016,118 min,"comedies,dramas",the trials and tribulations of several atlanta moms and one clueless widower dad make it a mothers day to remember in this ensemble comedy
584,no strings attached,movie,ivan reitman,"natalie portman,ashton kutcher,kevin kline,cary elwes,greta gerwig,lake bell,olivia thirlby,ludacris,jake johnson,mindy kaling,talia balsam",2011,109 min,"comedies,romantic movies",friends with benefits emma and adam are fine with their open relationship  until those pesky little things called feelings enter the picture
585,not another teen movie,movie,joel gallen,"chyler leigh,chris evans,jaime pressly,eric christian olsen,mia kirshner,deon richmond,eric jungmann,ron lester,cody mcmains,sam huntington,lacey chabert,joanna garcia swisher,samm levine,cerina vincent",2001,89 min,comedies,on a bet a gridiron hero at john hughes high school sets out to turn a bespectacled artist into a prom queen in this outrageous parody
586,ophelia,movie,claire mccarthy,"daisy ridley,naomi watts,clive owen,george mackay,tom felton,devon terrell,dominic mafham,daisy head",2018,106 min,"dramas,romantic movies",in this retelling of hamlet from ophelias point of view the ladyinwaitings shared love with denmarks prince is ruined by treachery and madness
587,pet sematary 2,movie,mary lambert,"edward furlong,anthony edwards,clancy brown,jared rushton,darlanne fluegel,jason mcguire,sarah trigger,lisa waltz,jim peck,len hunt",1992,101 min,horror movies,when chase and his son jeff move to a different town jeff befriends an outcast named drew and the two discover a strange indian burial ground
588,quarantine tales,tv show,"sidharta tata,aco tenriyagelli,dian sastrowardoyo,ifa isfansyah,jason iskandar","adinia wirasti,marissa anita,faradina mufti,teuku rifnu wikana,arawinda kirana,abdurrahman arif,verdi solaiman,kiki narendra,brigitta cynthia,roy sungkono,windy apsari",2020,1 season,"international tv shows,tv comedies,tv dramas",traversing genres five separate stories offer unique whimsical and thoughtprovoking takes on life during the pandemic in 2020
589,rainbow rangers,tv show,,"penelope rawlins,juliette crosbie,zehra naqvi,phillipa alexander,aileen mythen",2018,1 season,kids tv,when earths animals and natural wonders need a rescue the rainbow rangers combine their colorful powers to protect the planet and save the day
590,red joan,movie,trevor nunn,"judi dench,sophie cookson,nina sosanya,tom hughes,tereza srbová,stephen campbell moore,ben miles,freddie gaminara,robin soans,kevin fuller",2019,101 min,"dramas,international movies",when an unassuming elderly widow is arrested for treason her tangled secret past as the kgbs longestserving british spy is exposed
591,sailor moon crystal,tv show,,"kotono mitsuishi,hisako kanemoto,rina satou,ami koshimizu,shizuka ito,ryo hirohashi,kenji nojima,misa watanabe",2016,3 seasons,"anime series,kids tv",middle schooler usagi tsukino and her friends learn that they have the power to transform into sailor guardians protecting the world from darkness
592,seven pounds,movie,gabriele muccino,"will smith,rosario dawson,woody harrelson,michael ealy,barry pepper,elpidia carrillo,robinne lee,joe nunez,bill smitrovich,tim kelleher,gina hecht,andy milder,judyann elder,sarah jane morris",2008,123 min,"dramas,romantic movies",weighed down by a dark secret irs agent ben thomas tries to improve the lives of seven strangers in need of a second chance
593,shes out of my league,movie,jim field smith,"jay baruchel,alice eve,tj miller,mike vogel,nate torrence,krysten ritter,geoff stults,lindsay sloane,andrew daly,jasika nicole,kyle bornheimer",2010,106 min,"comedies,romantic movies",kirks a 5 his new girlfriend mollys a 10 no one knows what she sees in him including kirk will his raging insecurities ruin this budding romance
594,snow day,movie,chris koch,"chris elliott,mark webber,jean smart,schuyler fisk,iggy pop,pam grier,john schneider,chevy chase,zena grey,josh peck",2000,89 min,"children  family movies,comedies",when a snow day shuts down the whole town the wheeler family cuts loose hal makes a play for the most popular girl in his school 10yearold natalie takes on the dreaded snowplow man and dad gets into a showdown with a rival meteorologist
595,star trek,movie,jj abrams,"chris pine,zachary quinto,karl urban,zoe saldana,simon pegg,john cho,anton yelchin,eric bana,leonard nimoy,bruce greenwood,ben cross,winona ryder",2009,128 min,"action  adventure,scifi  fantasy",on their first voyage aboard the starship enterprise cocky rebel james t kirk and logicdriven vulcan spock try to defeat a vengeful romulan commander
596,stuart little,movie,rob minkoff,"michael j fox,jonathan lipnicki,geena davis,hugh laurie,nathan lane",1999,85 min,"children  family movies,comedies",when his parents adopt a mouse instead of a little boy george realizes brothers come in all shapes and sizes but snowbell the cat is not so welcoming
597,sword of trust,movie,lynn shelton,"marc maron,jon bass,michaela watkins,jillian bell,toby huss,dan bakkedahl,lynn shelton,whitmer thomas",2019,89 min,"comedies,dramas,independent movies",an offbeat foursome takes a wild journey through the southern belt of denial to sell a relic purporting to prove the south won the civil war
598,talladega nights the ballad of ricky bobby,movie,adam mckay,"will ferrell,john c reilly,sacha baron cohen,gary cole,michael clarke duncan,leslie bibb,jane lynch,amy adams,andy richter,molly shannon",2006,108 min,"action  adventure,comedies,sports movies",nascar superstar ricky bobby believes he is the best there is until the arrival of a french formula one champion threatens his position as top dog
599,the american,movie,anton corbijn,"george clooney,violante placido,thekla reuten,paolo bonacelli,johan leysen,irina björklund,filippo timi,anna foglietta,björn granath",2010,105 min,"dramas,thrillers",dispatched to a small italian town to await further orders assassin jack embarks on a double life that may be more relaxing than is good for him
600,the best of enemies,movie,robin bissell,"taraji p henson,sam rockwell,babou ceesay,anne heche,wes bentley,nick searcy,bruce mcgill,john gallagher jr,nicholas logan,gilbert glenn brown",2019,133 min,dramas,in 1971 a summit on school integration in north carolina pits a civil rights activist against a ku klux klan leader sparking an unlikely friendship
601,the game,movie,david fincher,"michael douglas,sean penn,deborah kara unger,james rebhorn,peter donat,carroll baker,anna katarina,armin muellerstahl",1997,129 min,thrillers,an aloof investment bankers life spirals into peril and paranoia after his brother gives him an odd birthday gift the chance to play a mysterious game
602,the karate kid,movie,john g avildsen,"ralph macchio,pat morita,elisabeth shue,martin kove,randee heller,william zabka,ron thomas,rob garrison",1984,127 min,"action  adventure,children  family movies,classic movies",when a bullied teen befriends an unassuming martial arts master he will learn life lessons  and the right moves  to beat back his merciless rivals
603,the karate kid part ii,movie,john g avildsen,"ralph macchio,pat morita,nobu mccarthy,tamlyn tomita,yuji okumoto,joey miyashima,marc hayashi,danny kamekona,tony odell,martin kove,william zabka",1986,113 min,"action  adventure,children  family movies,dramas",daniel and his martialarts mentor mr miyagi visit okinawa where they battle a hostile new nemesis and a former foe looking to settle an old score
604,the karate kid part iii,movie,john g avildsen,"ralph macchio,pat morita,robyn lively,thomas ian griffith,martin kove,sean kanan,jonathan avildsen,randee heller,william christopher ford",1989,112 min,"children  family movies,dramas",a returning adversary threatens the bond between karate champ daniel and mentor mr miyagi with an intricate plan for revenge and a brutal challenger
605,the life of david gale,movie,alan parker,"kevin spacey,kate winslet,laura linney,gabriel mann,leon rippy,matt craven,rhona mitra,melissa mccarthy,jim beaver,chris warner",2003,130 min,dramas,when a texas professor and advocate for the elimination of the death penalty is falsely accused of a crime he ends up on death row himself
606,the long riders,movie,walter hill,"david carradine,keith carradine,robert carradine,james keach,stacy keach,dennis quaid,randy quaid,kevin brophy,harry carey jr,christopher guest,nicholas guest,shelby leverington,felice orlandi,pamela reed,james remar,fran ryan,savannah smith boucher,amy stryker,james whitmore jr",1980,100 min,action  adventure,this western chronicles the misadventures and demise of the jamesyounger gang 19thcentury outlaws who tore through missouri on a crime spree
607,the queen,movie,stephen frears,"helen mirren,michael sheen,james cromwell,helen mccrory,alex jennings,roger allam,sylvia syms,mark bazeley",2006,103 min,"dramas,international movies",after princess dianas death queen elizabeth ii and tony blair face public demands that she be memorialized in a manner beyond standard protocol
608,the strangers,movie,bryan bertino,"liv tyler,scott speedman,gemma ward,kip weeks,laura margolis,glenn howerton,alex fisher,peter claytonluce",2008,85 min,"horror movies,thrillers",a quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked mysterious murderous intruders
609,the sum of all fears,movie,phil alden robinson,"ben affleck,morgan freeman,bridget moynahan,james cromwell,liev schreiber,michael byrne,colm feore,alan bates,ron rifkin,ciarán hinds,bruce mcgill,richard marner,philip baker hall",2002,124 min,action  adventure,cia agent jack ryan tries to discover why three missing russian nuclear scientists are holed up in the ukraine communicating with neonazis
610,the tourist,movie,florian henckel von donnersmarck,"angelina jolie,johnny depp,paul bettany,timothy dalton,steven berkoff,rufus sewell,christian de sica,alessio boni,daniele pecci,giovanni guidelli",2010,103 min,"action  adventure,romantic movies",an american tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful interpol agent
611,underworld,movie,len wiseman,"kate beckinsale,scott speedman,michael sheen,shane brolly,bill nighy,erwin leder,sophia myles,robbie gee,wentworth miller,kevin grevioux",2003,121 min,"action  adventure,horror movies,scifi  fantasy",a vampire warrior begins to question her mission in the ancient war between the undead and werewolves when she falls for a human under her protection
612,underworld awakening,movie,"måns mårlind,björn stein","kate beckinsale,stephen rea,michael ealy,theo james,india eisley,sandrine holt,charles dance,kris holdenried,jacob blair,adam greydon reid",2012,89 min,"action  adventure,horror movies,scifi  fantasy",as the war between vampires and lycans rages on selene awakens from a prolonged forced cryogenic sleep to face a harrowing new enemy humans
